track_id,track_name,track_artist,track_popularity,track_album_id,track_album_name,track_album_release_date,playlist_name,playlist_id,playlist_genre,playlist_subgenre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,popularity_level
3cuW0sgJND4ZkdN1m7m7Gg,Deadroses,blackbear,61,1TkwzY3l4LqAfrQwBAx45Q,Deadroses,2015-02-14,Electropop,2Z5cPJ6Z4EVZAfF08amjvL,pop,electropop,0.612,0.536,10,-6.537,0,0.157,0.697,0.0,0.131,0.603,132.251,184636,somewhat_high
2cMXvhXlXMHpQLW7UTTWUp,as time goes by,Kuranes,43,6TvVjf2yTVn2jvBQMDtzn1,bad habits,2018-10-20,Lofi Hip-Hop,37i9dQZF1DX36Xw4IJIVKA,rap,hip hop,0.672,0.388,6,-15.317,0,0.0656,0.859,0.914,0.144,0.619,69.017,104348,somewhat_low
7BKLCZ1jbUBVqRi2FVlTVw,Closer (feat. Halsey),The Chainsmokers,85,0rSLgV8p5FzfnqlEk4GzxE,Closer (feat. Halsey),2016-07-29,2015 songs,6UJw1egIcZVfrBmcKs5uHH,edm,pop edm,0.748,0.524,8,-5.599,1,0.0338,0.414,0.0,0.111,0.661,95.01,244960,high
3FGiFUJRRp5RGikVrs6kig,Underdog,Alicia Keys,73,01aNLzRaKJogmxt3hDeII2,Underdog,2020-01-09,Charts 2020 🔥Top 2020🔥Hits 2020🔥Summer 2020🔥Pop 2020🔥Popular Music🔥Clean Pop 2020🔥Sing Alongs,3xMQTDLOIGvj3lWH5e5x6F,r&b,hip pop,0.655,0.722,0,-4.726,0,0.048,0.556,0.0,0.133,0.298,90.099,208208,high
49YNXgHWiNSxz2wGtXCVZ7,Set On Fire,MAGIC GIANT,51,7tSccVmXBn6RyHKoeKgKIv,In The Wind,2017-05-19,Indie Poptimism,1pZWCY50kMUhshcESknir8,pop,indie poptimism,0.229,0.871,6,-4.558,1,0.103,0.0133,2.18e-06,0.266,0.395,86.965,215653,somewhat_high
6FOpPA0a80RuBqqgDozvja,So Far Away,Staind,66,6PntFOrFJdHpXE9xzjhkyR,14 Shades of Grey,2003-05-13,Permanent Wave,2ExyzXAbukW7I8bDqdGvPB,rock,permanent wave,0.407,0.896,6,-2.935,1,0.063,0.012,0.0,0.196,0.156,138.697,243573,somewhat_high
6DCZcSspjsKoFjzjrWoCdn,God's Plan,Drake,86,1ATL5GLyefJaxhQzSPVrLX,Scorpion,2018-06-29,2010 - 2011 - 2012 - 2013 - 2014 - 2015 - 2016 - 2017 - 2018 - 2019 - 2020 TOP HITS,2DjIfVDXGYDgRxw7IJTKVb,edm,pop edm,0.754,0.449,7,-9.211,1,0.109,0.0332,8.29e-05,0.552,0.357,77.169,198973,high
1L88LDjEGFIWj8YZe6qyDz,"Mama, I'm Coming Home",Ozzy Osbourne,8,0FFbguUto5ZWRVMN2r9ZCm,The Ozzman Cometh,1997-11-11,Hard Rock Classics 1967-1991 (Party Edition),1NIX36ZFWEtgXSbSNghoue,rock,hard rock,0.263,0.734,8,-4.704,1,0.0303,0.00147,0.0,0.0865,0.26,141.004,251733,low
2jUoKSWTHduXxUL3JomwhB,Bikini Porn,Tove Lo,63,5UXDFt3Oh4AEgjG7Dv9rVm,Bikini Porn,2020-01-15,The Pulse of Indie Poptimism,5qFXOOxrQVyS4UCq3UilZN,pop,indie poptimism,0.919,0.687,9,-5.793,0,0.0774,0.0839,1.1e-05,0.052,0.675,100.997,162947,somewhat_high
6jJjAgqZ9Nh9NAaPuvDTHm,Old Me,Michael Kraun,35,1hVwhYS9pqjlscJwrpfWd7,Downtime Pt. 2,2019-11-22,Gangster Rap,5joQabz9ys3XPGbSx5CaKv,rap,gangster rap,0.751,0.684,8,-3.402,1,0.107,0.179,0.0,0.12,0.173,110.006,210034,somewhat_low
0IXpUl1fn2QZcBavfuq0H4,Living After Midnight,Judas Priest,63,5bqtZRbUZUxUps8mrO9tGY,British Steel,1980,Workday: Rock Classics,37i9dQZF1DX1lwxXvReaux,rock,classic rock,0.61,0.824,4,-6.046,1,0.0534,0.0136,1.75e-06,0.0606,0.819,134.992,210133,somewhat_high
0M955bMOoilikPXwKLYpoi,I Hate Everything About You,Three Days Grace,70,13topfW33NjnACjnRiZBX7,Three Days Grace,2003-04-19,Permanent Wave,2ExyzXAbukW7I8bDqdGvPB,rock,permanent wave,0.498,0.83,6,-5.157,0,0.0421,0.00461,0.0,0.139,0.453,89.342,231480,high
3oNn2Qg40BPekTa4zxpSp2,Blue in Green,Anti-Lilly & Phoniks,45,0rmatVtakgyBlagEsfR8mi,Stories From the Brass Section,2014-04-24,Saxophone in Hip Hop - R&B Lounge - Jazz Rap,2ujrP2rPxu8ao7wNeG1ZOY,r&b,neo soul,0.792,0.538,11,-8.654,0,0.314,0.535,0.0,0.122,0.761,91.992,200829,somewhat_low
59kTVUKhpcFw9zMLPSbFvH,Nine in the Afternoon,Panic! At The Disco,55,78EcStHa23JPRmLNan5fST,Pretty. Odd.,2008-03-24,L' ALBUM ROCK,0jilq2XZP9F2fwzp2k6iXK,rock,album rock,0.249,0.804,10,-3.233,1,0.0502,0.0201,0.0,0.262,0.389,155.066,192893,somewhat_high
2KjYhaRlB5NtCJ0JotvJhZ,Drive,The Cars,5,3OMy9JiGOcTw2JbrBDcraL,The Cars: The Definitive,2002-03-11,80's Songs | Top 💯 80s Music Hits,65HtIbyFkaQPflCa4oW8KO,pop,electropop,0.424,0.86,6,-4.29,1,0.0342,0.0196,0.000343,0.306,0.38,111.497,234400,low
0T0AY7kzqXBiMuHvI7I3j4,Karmasutra,Karma,42,2Oehm2RqSGeE5fyMBIb6Q5,Karmasutra,2019-03-01,RAP 91,37i9dQZF1DX1ct2TQrAvRf,rap,hip hop,0.913,0.763,6,-5.219,0,0.222,0.142,0.0,0.115,0.313,140.029,168000,somewhat_low
6i0V12jOa3mr6uu4WYhUBr,Heathens,Twenty One Pilots,81,3J8W9AOjQhnBLCX33m3atT,Heathens,2016-06-16,random playlist that can't decide its genre so go ahead jam along with these catchy tunes,49qyKvg6UAQAvIMUIGMnP3,pop,indie poptimism,0.732,0.396,4,-9.348,0,0.0286,0.0841,3.58e-05,0.105,0.548,90.024,195920,high
6DHMWFchF9eAEFEM6euZto,Bounce Mechanism,Curbi,32,2rKOxnAPdwjkgWCrWilfi1,"Redliners, Vol. 1 - EP",2018-12-10,Nasty Bits,37i9dQZF1DX2VvACCrgjrt,edm,electro house,0.646,0.99,11,-1.978,1,0.0808,0.000549,0.844,0.0998,0.382,128.064,154219,somewhat_low
5BHQgdYNXLHFSZaoSGXQh5,Primer,DubVision,26,6Em1iehniGE0L25GVbV5YB,Primer,2016-08-05,Jeff Seid Electro House,2Tisn6NZbeofpc57Oc6MGo,edm,electro house,0.681,0.864,4,-2.951,0,0.049,0.026,0.000563,0.586,0.249,127.994,186516,somewhat_low
5nTywGPx2MJrzHD5w8Fgwc,Smokey Hue,TyLuv.,44,4lKLsr9QcyPdXnvRfBfquB,In Between (Part.3),2019-10-31,Lofi Hip-Hop,37i9dQZF1DX36Xw4IJIVKA,rap,hip hop,0.649,0.441,10,-8.665,0,0.0312,0.957,0.964,0.115,0.406,89.964,160040,somewhat_low
0D1ZKHo1jI0gzOWZGhlyv3,Flames (feat. Ruel),SG Lewis,8,4IK6iEL3DSjo5xMDlaBBeH,Flames,2019-05-10,Deep Electronic Music 2020 & Progressive House,5CMvAWTlDPdZnkleiTHyyo,edm,progressive electro house,0.555,0.62,9,-5.822,0,0.118,0.0891,0.00306,0.107,0.371,193.924,216765,low
78QR3Wp35dqAhFEc2qAGjE,Drip Too Hard (Lil Baby & Gunna),Lil Baby,84,2yXnY2NiaZk9QiJJittS81,Drip Harder,2018-10-05,Great Pops,5SO7xYih5w8X5FEpKvU7Rt,latin,latin pop,0.897,0.662,1,-6.903,0,0.292,0.0852,0.0,0.534,0.389,112.511,145543,high
6X5rAr7k2l5w4VbZCsHQ8v,Telling the Truth,Brasstracks,26,6MBrVHj4jlZNHcMfDWOqMV,Good Love,2016-08-19,Urban Contemporary,4425cRh83Uzor4qCRfM9lb,r&b,urban contemporary,0.686,0.603,5,-6.725,0,0.198,0.0343,2.27e-05,0.0907,0.651,119.945,207011,somewhat_low
